symbol,entry_price,entry_date,exit_price,exit_date,pnl_pct
J&KBANK,192.6499938964844,2026-07-12,172.57000732421875,2026-07-24,-10.423040336588397
MOTILALOFS,979.3499755859376,2026-07-12,871.9500122070312,2026-07-24,-10.966453878211391
AMBER,8016.5,2026-07-17,7261.5,2026-07-24,-9.41807521985904
ERIS,1431.199951171875,2026-07-12,1354.699951171875,2026-07-31,-5.345165078950802
GRAVITA,1854.5999755859373,2026-07-12,1616.4000244140625,2026-07-31,-12.843737426267271
APTUS,299.95001220703125,2026-07-17,261.20001220703125,2026-07-31,-12.918819277544822
NUVAMA,1947.199951171875,2026-07-24,1642.699951171875,2026-08-07,-15.637839340368926
IPCALAB,1890.199951171875,2026-07-17,1700.0999755859375,2026-08-10,-10.057135779105298
GODREJIND,1417.699951171875,2026-07-12,1252.5,2026-08-14,-11.652673828148208
ALKEM,5816.5,2026-07-31,5368.0,2026-08-14,-7.710822659675062
SAMMAANCAP,167.22000122070312,2026-08-07,152.38999938964844,2026-08-14,-8.868557423033089
SCHNEIDER,1355.300048828125,2026-08-02,1198.0999755859375,2026-08-17,-11.598912977101437
AIAENG,4795.39990234375,2026-08-07,4397.0,2026-08-17,-8.30795992945306
BIOCON,436.6000061035156,2026-08-07,410.3500061035156,2026-08-17,-6.012368216453084
NSLNISP,45.290000915527344,2026-08-14,40.70000076293945,2026-08-17,-10.134687701042292
CUMMINSIND,5546.0,2026-07-17,5107.5,2026-08-21,-7.906599350883519
DEEPAKFERT,1601.0999755859375,2026-07-17,1449.199951171875,2026-08-21,-9.487229200567146
HSCL,722.3499755859375,2026-07-17,654.4000244140625,2026-08-21,-9.40679081725684
RAINBOW,1520.5999755859375,2026-07-31,1433.199951171875,2026-08-21,-5.747732856590661
ASTERDM,844.4500122070312,2026-08-07,761.5499877929688,2026-08-21,-9.817043426572674
KIMS,797.8499755859375,2026-07-26,778.3499755859375,2026-08-24,-2.4440685087041945
CHOICEIN,835.0,2026-07-12,,2026-08-28,
JUBLINGREA,722.2999877929688,2026-07-12,,2026-08-28,
LLOYDSME,1799.5999755859375,2026-07-12,,2026-08-28,
BRITANNIA,5510.0,2026-08-09,5250.0,2026-08-31,-4.71869328493648
OLECTRA,1393.5,2026-08-14,1276.699951171875,2026-08-31,-8.38177601924112
BHARTIARTL,1992.0999755859373,2026-08-16,1811.9000244140625,2026-08-31,-9.045728295783572
TEGA,1776.5,2026-08-21,1586.300048828125,2026-08-31,-10.706442508971293
ADANIENSOL,1617.0,2026-08-28,1417.4000244140625,2026-08-31,-12.343845119724026
ADANIENT,3169.0,2026-08-28,2859.10009765625,2026-08-31,-9.779107047767434
